City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,bardai,11.65,7.2333,21.45,90,94,3.54,NG,1722731031
284,pula,44.8683,13.8481,24.31,53,0,4.63,HR,1722731032
285,chonchi,-42.6128,-73.8092,7.84,96,100,1.83,CL,1722731033
286,coronel oviedo,-25.4167,-56.45,28.36,32,81,2.33,PY,1722731034
287,anadyr,64.75,177.4833,9.28,87,100,8.94,RU,1722731035
288,mermoz boabab,14.7065,-17.4758,28.31,78,40,4.12,SN,1722731037
289,ribeira brava,32.65,-17.0667,23.35,81,0,1.03,PT,1722731038
290,lebu,-37.6167,-73.65,9.19,93,98,3.67,CL,1722731039
291,isiolo,0.3546,37.5822,19.29,77,100,4.32,KE,1722731040
292,chincha alta,-13.4099,-76.1323,16.33,88,16,1.52,PE,1722731041
293,katabu,-4.9333,122.5167,26.16,73,82,2.67,ID,1722731042
294,horsley,54.9833,-1.85,11.88,87,0,1.54,GB,1722731044
295,zalingei,12.9096,23.4741,21.76,90,99,0.65,SD,1722731045
296,beykonak,36.3257,30.303,28.13,69,0,2.03,TR,1722731046
297,taltal,-25.4,-70.4833,15.32,74,56,1.23,CL,1722731047
298,ixtapa,20.7,-105.2,27.9,94,100,2.06,MX,1722731048
299,freetown,8.484,-13.2299,24.41,91,100,4.76,SL,1722731049
300,almeirim,-1.5233,-52.5817,27.12,51,70,1.53,BR,1722731051
301,humberto de campos,-2.5983,-43.4611,23.37,86,8,1.65,BR,1722731052
302,pandan,14.0453,124.1694,29.0,76,99,1.89,PH,1722731053
303,dudinka,69.4058,86.1778,12.27,65,50,6.12,RU,1722731054
304,mariental,-24.6333,17.9667,16.05,30,0,5.42,NA,1722731055
305,gumel,12.6279,9.3912,23.97,78,80,5.58,NG,1722731057
306,olyokminsk,60.3736,120.4264,18.37,58,99,3.48,RU,1722731058
307,moga,30.8,75.1667,26.65,82,13,3.08,IN,1722731059
308,ciudad lazaro cardenas,17.9583,-102.2,28.4,71,99,2.09,MX,1722731030
309,benghazi,32.1167,20.0667,27.18,72,0,3.14,LY,1722731061
310,porto novo,6.4965,2.6036,23.61,91,86,2.96,BJ,1722731062
311,nar'yan-mar,67.6713,53.087,8.19,85,85,7.44,RU,1722731064
312,gadzhiyevo,69.2551,33.3362,9.11,94,26,3.09,RU,1722731065
313,zapadnaya dvina,56.259,32.0745,11.87,96,17,1.08,RU,1722731066
314,kilinochchi,9.3961,80.3982,25.0,90,52,2.19,LK,1722731067
315,vorkuta,67.5,64.0,11.7,71,95,6.91,RU,1722731068
316,kingsford,-33.924,151.2275,14.88,61,40,3.09,AU,1722731072
317,vadso,70.0744,29.7487,10.49,87,100,4.12,NO,1722731073
318,north bay,46.3168,-79.4663,26.01,50,20,2.06,CA,1722731074
319,morehead city,34.7229,-76.726,29.0,88,20,5.66,US,1722731075
320,biloela,-24.4167,150.5,20.65,38,0,4.62,AU,1722731076
321,chibougamau,49.9168,-74.3659,20.79,60,20,4.12,CA,1722731078
322,east end,34.5507,-92.341,31.94,60,3,3.97,US,1722731079
323,alo,6.5486,4.2686,24.04,92,85,3.26,NG,1722731080
324,vanimo,-2.6741,141.3028,27.54,82,96,2.73,PG,1722731081
325,badger,64.8,-147.5333,13.93,83,100,0.0,US,1722731067
326,sonepur,20.8333,83.9167,24.73,91,100,1.51,IN,1722731083
327,dalby,-27.1833,151.2667,16.01,57,34,2.08,AU,1722731086
328,lompoc,34.6391,-120.4579,30.38,72,0,5.66,US,1722731087
329,pokrovsk,48.282,37.1758,19.11,59,71,2.74,UA,1722731088
330,dorado,18.4588,-66.2677,28.94,89,24,0.45,PR,1722731090
331,al fahahil,29.0825,48.1303,36.57,28,0,6.36,KW,1722731091
332,essaouira,31.5125,-9.77,24.72,69,0,5.14,MA,1722731092
333,arar,30.9753,41.0381,29.01,21,0,9.26,SA,1722731093
334,aripuana,-9.1667,-60.6333,27.68,39,50,1.25,BR,1722731094
335,malkerns,-26.5667,31.1833,14.26,62,6,2.31,SZ,1722731095
336,tra mhor,52.1624,-7.1524,15.05,72,100,2.68,IE,1722731097
337,mwinilunga,-11.7358,24.4293,15.1,33,18,1.57,ZM,1722731098
338,holualoa,19.6228,-155.9522,28.08,75,0,6.69,US,1722731051
339,fort bragg,35.139,-79.006,23.91,90,75,4.12,US,1722731060
340,koungou,-12.7336,45.2042,21.84,94,0,3.09,YT,1722731102
341,lobujya,27.95,86.8167,1.62,95,100,0.47,NP,1722731087
342,yigo village,13.5361,144.8886,28.19,88,0,7.2,GU,1722731105
343,kayangel,8.0823,134.7173,28.96,75,99,6.3,PW,1722731106
344,safaga,26.7292,33.9365,32.35,46,40,2.34,EG,1722731107
345,jayapura,-2.5333,140.7,28.66,79,94,2.35,ID,1722731108
346,makar'yev,57.8797,43.8069,13.26,96,37,1.79,RU,1722731109
347,juan griego,11.0817,-63.9655,29.07,79,78,6.17,VE,1722731111
348,kyzyl-mazhalyk,51.1333,90.6,17.48,66,93,0.78,RU,1722731113
349,novyy urgal,51.0736,132.5642,21.84,48,83,0.62,RU,1722731114
